#YY;MM;DD;hh;mm;WDI;R WSP;D GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;TIDE
#yr;mo;dy;hr;mn;deg;T m/s;m/s;m;sec;sec;deg;T   hPa;degC;degC;degC;mi;ft
2012;1;7;1;50;323;12.8;15.1;4.82;13.79;8.86;299;1020.8;10.7;11.6;999;99;99
2012;1;7;2;50;327;11.4;13.7;4.02;16;7.86;301;1021;10.8;11.6;999;99;99
2012;1;7;3;50;324;11.4;13.8;4.43;13.79;8.56;292;1020.7;11;11.6;999;99;99
2012;1;7;4;50;322;11.1;13;4.36;12.9;8.7;293;1020.9;11;11.6;999;99;99
2012;1;7;5;50;326;10.7;13.2;4.45;16;8.64;307;1021.1;11.1;11.5;999;99;99
2012;1;7;6;50;324;10.2;12.3;4.58;14.81;8.76;300;1021.3;11.1;11.5;999;99;99
2012;1;7;7;50;327;11;13;3.93;13.79;8.19;310;1021.2;11;11.4;999;99;99
2012;1;7;8;50;329;10.1;12.2;4.23;14.81;8.48;311;1021.1;11.1;11.4;999;99;99
2012;1;7;9;50;331;9.4;11.7;3.81;14.81;8.18;308;1021.2;11.1;11.4;999;99;99
2012;1;7;10;50;333;11;13.2;3.61;12.9;7.77;310;1021.5;11.2;11.4;999;99;99
2012;1;7;11;50;330;10;12.3;3.63;10;7.79;306;1021.5;11.2;11.4;999;99;99
2012;1;7;12;50;331;10.6;12.7;3.95;13.79;8.27;308;1021.4;11.2;11.4;999;99;99
2012;1;7;13;50;332;10;12;3.46;13.79;7.93;296;1021.8;11.2;11.4;999;99;99
2012;1;7;14;50;338;8.8;11;3.45;11.43;7.64;304;1022;11.2;11.4;999;99;99
2012;1;7;15;50;331;7.9;9.8;3.44;12.9;7.84;302;1022.3;11.2;11.4;999;99;99
2012;1;7;16;50;341;8.6;11.3;3.2;10.81;8.09;308;1023.1;11.3;11.4;999;99;99
2012;1;7;17;50;334;9.9;11.7;3.25;12.12;7.72;308;1023.6;11.7;11.4;999;99;99
2012;1;7;18;50;330;9.2;11.1;3.25;11.43;7.76;306;1023.9;11.5;11.5;999;99;99
2012;1;7;19;50;325;9;10.6;3;12.12;7.31;305;1023;11.5;11.5;999;99;99
2012;1;7;20;50;320;9.5;11.3;2.91;12.12;7.4;302;1021.9;11.5;11.5;999;99;99
2012;1;7;21;50;319;9;10.4;3.08;12.12;7.59;307;1021.1;11.8;11.6;999;99;99
2012;1;7;22;50;308;8.9;10.5;2.78;13.79;7.29;282;1020.7;11.8;11.6;999;99;99
2012;1;7;23;50;307;7.3;9.5;2.66;11.43;6.75;306;1020.8;11.8;11.7;999;99;99
2012;1;8;0;50;313;10.6;13.2;2.75;12.9;7.21;306;1020.6;11.5;11.7;999;99;99
2012;1;8;1;50;320;9.2;11.4;2.73;12.12;7.01;288;1021.1;11.6;11.6;999;99;99
2012;1;8;2;50;321;11.4;13.7;2.5;12.9;6.63;297;1021.1;11.5;11.6;999;99;99
2012;1;8;3;50;321;9.6;11.2;2.7;10.81;6.99;294;1021.2;11.5;11.6;999;99;99
2012;1;8;4;50;323;9.6;11.1;2.34;12.9;6.92;287;1021.3;11.8;11.6;999;99;99
2012;1;8;5;50;328;7.9;9.9;2.32;11.43;6.59;285;1021.6;11.6;11.6;999;99;99
2012;1;8;6;50;341;4.7;5.8;2.31;10.81;6.98;299;1021.7;11.7;11.6;999;99;99
2012;1;8;7;50;342;4.4;5.2;2.35;12.12;7.16;297;1021.8;12;11.6;999;99;99
2012;1;8;8;50;327;4.9;6.2;2.25;13.79;7.27;290;1021.7;11.8;11.6;999;99;99
2012;1;8;9;50;323;5.3;6.5;2.22;12.9;7.55;292;1021.4;11.8;11.6;999;99;99
2012;1;8;10;50;335;3.6;4.3;2.26;13.79;7.3;297;1021.9;12.3;11.6;999;99;99
2012;1;8;11;50;358;3.7;4.3;2.21;13.79;7.65;294;1021.6;12;11.6;999;99;99
2012;1;8;12;50;355;3.8;4.6;2.11;12.9;7.47;311;1021.7;11.9;11.6;999;99;99
2012;1;8;13;50;330;2;2.9;2.31;12.12;8.05;306;1022.1;12.2;11.6;999;99;99
2012;1;8;14;50;17;2.3;3.4;2.14;12.9;7.78;303;1022.3;12.4;11.5;999;99;99
2012;1;8;15;50;329;2.9;3.7;2.48;12.9;8.68;302;1022.7;12.8;11.5;999;99;99
2012;1;8;16;50;28;4.3;5.2;2.12;12.9;8.33;316;1023.2;12.7;11.5;999;99;99
2012;1;8;17;50;48;3;3.9;2.29;12.9;8.7;293;1023.5;13;11.5;999;99;99
2012;1;8;18;50;360;1.2;2.2;2.2;12.12;8.37;304;1023.6;13;11.6;999;99;99
2012;1;8;19;50;18;3.4;4.5;2.02;12.9;7.93;297;1022.7;13.1;11.8;999;99;99
2012;1;8;20;50;29;2.4;3.5;1.91;12.12;7.87;292;1022.4;13.3;11.9;999;99;99
2012;1;8;21;50;75;2.6;3.6;1.82;11.43;7.7;297;1022.3;14.1;12;999;99;99
2012;1;8;22;50;325;1.5;2.2;1.81;11.43;8.01;286;1022.5;14;12.2;999;99;99
2012;1;8;23;50;327;4.3;5.3;1.8;19.05;8.05;301;1022.6;12.7;12.2;999;99;99
2012;1;9;0;50;330;6.6;7.4;1.62;12.12;7.86;293;1022.6;12;12.1;999;99;99
